ip,asn,org,country,ports,domains
112.213.32.16,AS133159,Mammoth Media Pty Ltd,AU,443,hgn.me;testdovecotcompress.hgn.me
112.74.97.53,AS37963,"Aliyun Computing Co., LTD",CN,443,bohaiadx.com;mail.bohaiadx.com
113.44.77.25,AS55990,Huawei Public Cloud Service (Huawei Software Technologies Ltd.Co),CN,443,ecs-113-44-77-25.compute.hwclouds-dns.com;hwclouds-dns.com
114.34.169.105,AS3462,"Chunghwa Telecom Co.,Ltd.",TW,8060,114-34-169-105.hinet-ip.hinet.net;hinet.net
115.238.53.82,AS4134,Tianjin Zhijiang precious metals company,CN,8443,launchingai.cn;mail.launchingai.cn
116.202.107.16,AS24940,Hetzner Online GmbH,DE,443,istbeiuns.de;mailer.istbeiuns.de
116.202.11.214,AS24940,Hetzner Online GmbH,DE,443,khas.dev;mail.khas.dev;static.214.11.202.116.clients.your-server.de;your-server.de
116.202.13.225,AS24940,Hetzner Online GmbH,DE,443,jbin.me;mail.jbin.me;static.225.13.202.116.clients.your-server.de;your-server.de
116.202.13.60,AS24940,Hetzner Online GmbH,DE,443,kiono.ch;mail.kiono.ch
116.202.151.80,AS24940,Hetzner Online GmbH,DE,443,akadi.de;mail.akadi.de
116.202.16.39,AS24940,Hetzner Online GmbH,DE,443,mail.redford.pro;redford.pro
116.202.16.48,AS24940,Hetzner Online GmbH,DE,443,fschmidt.at;mail.fschmidt.at
116.202.165.49,AS24940,Hetzner Online GmbH,DE,443,mx.polyas.dev;polyas.dev
116.202.17.166,AS24940,Hetzner Online GmbH,DE,443,mail.nighttrader.exchange;nighttrader.exchange
116.202.177.25,AS24940,Hetzner Online GmbH,DE,443,mail.wesrc.com;mx42.wesrc.com;wesrc.com
116.202.181.192,AS24940,Hetzner Online GmbH,DE,443,baff-business.com;baff-space.org;bildet-banden.org;mail.baff-business.com;mail.baff-space.org;mail.bildet-banden.org
116.202.182.209,AS24940,Hetzner Online GmbH,DE,443,mail.mathias-velten.de;mathias-velten.de
116.202.19.5,AS24940,Hetzner Online GmbH,DE,443;444;81,adb.sh;mail.adb.sh
116.202.21.77,AS24940,Hetzner Online GmbH,DE,443,116-202-21-77.ipv4.superlel.me;email.superlel.me;imap.superlel.me;mda.superlel.me;msa.superlel.me;superlel.me
116.202.217.194,AS24940,Hetzner Online GmbH,DE,443,autoconfig.mg-selm.de;autoconfig.vakross.de;imap.mg-selm.de;imap.vakross.de;mail.mg-selm.de;mail.vakross.de;mg-selm.de;pop3.mg-selm.de;pop3.vakross.de;smtp.mg-selm.de;smtp.vakross.de;vakross.de
116.202.218.225,AS24940,Hetzner Online GmbH,DE,443,mail.teamproject.team;teamproject.team
116.202.24.168,AS24940,Hetzner Online GmbH,DE,443,naboo.tabletopwelt.de;tabletopwelt.de
116.202.24.17,AS24940,Hetzner Online GmbH,DE,443,datapasa.com;depowe.red;mail.datapasa.com;mail.depowe.red;static.17.24.202.116.clients.your-server.de;your-server.de
116.202.25.30,AS24940,Hetzner Online GmbH,DE,443,autoconfig.tsdienstleistung.de;leoms1408.dev;mail.leoms1408.dev;tsdienstleistung.de
116.202.28.70,AS24940,Hetzner Online GmbH,DE,443,kjarrigan.de;www.new-master.de
116.202.31.136,AS24940,Hetzner Online GmbH,DE,443,e01.s5n.de;s5n.de;webmail.s5n.de
